Bacterial Infections and Mycoses;C01
Bacterial Infections;C01.252
Bacteremia;C01.252.100
Hemorrhagic Septicemia;C01.252.100.375
Central Nervous System Bacterial Infections;C01.252.200
Brain Abscess;C01.252.200.100
Empyema, Subdural;C01.252.200.200
Epidural Abscess;C01.252.200.250
Lyme Neuroborreliosis;C01.252.200.450
Meningitis, Bacterial;C01.252.200.500
Meningitis, Escherichia coli;C01.252.200.500.400
Meningitis, Haemophilus;C01.252.200.500.450
Meningitis, Listeria;C01.252.200.500.500
Meningitis, Meningococcal;C01.252.200.500.550
Waterhouse-Friderichsen Syndrome;C01.252.200.500.550.800
Meningitis, Pneumococcal;C01.252.200.500.600
Tuberculosis, Meningeal;C01.252.200.500.800
Neurosyphilis;C01.252.200.750
Endocarditis, Bacterial;C01.252.300
Endocarditis, Subacute Bacterial;C01.252.300.407
Eye Infections, Bacterial;C01.252.354
Conjunctivitis, Bacterial;C01.252.354.225
Conjunctivitis, Inclusion;C01.252.354.225.250
Ophthalmia Neonatorum;C01.252.354.225.625
Trachoma;C01.252.354.225.800
Hordeolum;C01.252.354.400
Keratoconjunctivitis, Infectious;C01.252.354.450
Tuberculosis, Ocular;C01.252.354.800
Uveitis, Suppurative;C01.252.354.900
Panophthalmitis;C01.252.354.900.675
Fournier Gangrene;C01.252.377
Gram-Negative Bacterial Infections;C01.252.400
Aliivibrio Infections;C01.252.400.050
Anaplasmataceae Infections;C01.252.400.054
Anaplasmosis;C01.252.400.054.050
Ehrlichiosis;C01.252.400.054.160
Heartwater Disease;C01.252.400.054.160.400
Bacteroidaceae Infections;C01.252.400.110
Bacteroides Infections;C01.252.400.110.109
Bartonellaceae Infections;C01.252.400.126
Bartonella Infections;C01.252.400.126.100
Angiomatosis, Bacillary;C01.252.400.126.100.050
Cat-Scratch Disease;C01.252.400.126.100.150
Trench Fever;C01.252.400.126.100.800
Bordetella Infections;C01.252.400.143
Whooping Cough;C01.252.400.143.740
Borrelia Infections;C01.252.400.155
Lyme Disease;C01.252.400.155.569
Erythema Chronicum Migrans;C01.252.400.155.569.200
Lyme Neuroborreliosis;C01.252.400.155.569.600
Relapsing Fever;C01.252.400.155.644
Brucellosis;C01.252.400.167
Brucellosis, Bovine;C01.252.400.167.322
Burkholderia Infections;C01.252.400.170
Glanders;C01.252.400.170.400
Melioidosis;C01.252.400.170.531
